,x,y,camera_state
0,79.0,333.0,on
1,80.0,333.0,on
2,81.0,333.0,on
3,82.0,332.0,on
4,86.0,330.0,on
5,91.0,329.0,on
6,98.0,326.0,on
7,104.0,320.0,on
8,109.0,316.0,on
9,113.0,312.0,on
10,120.0,307.0,on
11,126.0,300.0,on
12,130.0,295.0,on
13,135.0,291.0,on
14,139.0,287.0,on
15,144.0,283.0,on
16,147.0,278.0,on
17,149.0,274.0,off
18,152.0,271.0,off
19,155.0,268.0,off
20,158.0,264.0,off
21,161.0,261.0,off
22,163.0,258.0,off
23,166.0,254.0,off
24,169.0,250.0,off
25,172.0,247.0,off
26,174.0,244.0,off
27,176.0,241.0,off
28,179.0,237.0,off
29,183.0,232.0,off
30,188.0,226.0,off
31,192.0,221.0,off
32,196.0,217.0,off
33,198.0,213.0,off
34,201.0,210.0,off
35,206.0,203.0,off
36,210.0,198.0,off
37,214.0,192.0,off
38,216.0,188.0,off
39,219.0,185.0,off
40,222.0,181.0,off
41,224.0,178.0,off
42,228.0,173.0,off
43,230.0,171.0,off
44,233.0,168.0,off
45,238.0,164.0,off
46,243.0,161.0,off
47,251.0,156.0,off
48,257.0,153.0,off
49,262.0,153.0,off
50,269.0,152.0,off
51,279.0,152.0,off
52,285.0,151.0,off
53,289.0,153.0,off
54,292.0,153.0,off
55,296.0,155.0,off
56,298.0,156.0,off
57,348.0,161.0,on
58,351.0,162.0,on
59,354.0,163.0,on
60,361.0,166.0,on
61,366.0,166.0,on
62,376.0,167.0,on
63,385.0,168.0,on
64,395.0,169.0,on
65,403.0,168.0,on
66,409.0,167.0,on
67,415.0,167.0,on
68,422.0,168.0,on
69,430.0,167.0,on
70,435.0,166.0,on
71,440.0,165.0,off
72,445.0,165.0,off
73,450.0,164.0,off
74,455.0,164.0,off
75,462.0,163.0,off
76,469.0,163.0,off
77,474.0,163.0,off
78,482.0,163.0,off
79,486.0,163.0,off
80,491.0,164.0,off
81,495.0,164.0,off
82,503.0,165.0,off
83,510.0,165.0,off
84,515.0,165.0,off
85,520.0,165.0,off
86,527.0,165.0,off
87,531.0,164.0,off
88,536.0,164.0,off
89,540.0,164.0,off
90,547.0,163.0,off
91,552.0,163.0,off
92,586.0,159.0,on
93,592.0,158.0,on
94,597.0,159.0,on
95,604.0,159.0,on
96,609.0,159.0,on
97,615.0,159.0,on
98,621.0,159.0,on
99,626.0,159.0,on
100,634.0,159.0,on
101,641.0,159.0,on
102,647.0,159.0,on
103,652.0,160.0,on
104,658.0,160.0,on
105,664.0,160.0,on
106,670.0,160.0,on
107,675.0,160.0,on
108,681.0,161.0,on
109,687.0,161.0,on
110,693.0,160.0,on
111,701.0,161.0,on
112,707.0,162.0,on
113,711.0,161.0,on
114,716.0,162.0,on
115,723.0,162.0,on
116,729.0,163.0,on
117,733.0,163.0,on
118,736.0,163.0,on
119,740.0,163.0,on
120,745.0,162.0,on
121,748.0,161.0,on
122,752.0,159.0,on
123,758.0,157.0,on
124,764.0,154.0,on
125,771.0,150.0,on
126,777.0,147.0,on
127,783.0,143.0,on
128,789.0,139.0,on
129,795.0,135.0,on
