,left_speed_commanded,right_speed_commanded,camera_state
0,30.0,7.74888130677431,on
1,30.0,7.78434021973412,on
2,57.0,8.560363879627047,on
3,85.0,10.108744217474523,on
4,105.0,12.006241368198204,on
5,132.0,16.781951674836588,on
6,161.0,28.76967530921102,on
7,102.39862302841146,57.0,on
8,143.0,67.00932938340196,on
9,129.75304748808725,75.0,on
10,104.4903133062407,75.0,on
11,95.08840085373632,75.0,on
12,94.52990145043047,75.0,on
13,87.46971112889712,75.0,on
14,88.18947313488508,75.0,on
15,83.39856176587341,75.0,on
16,90.74359646536499,75.0,on
17,87.53071367779714,75.0,off
18,87.53737503627104,75.0,off
19,87.1115500883147,75.0,off
20,86.21286680261413,75.0,off
21,84.59223488999913,75.0,off
22,81.22929606133988,75.0,off
23,78.52866975932847,75.0,off
24,76.28243838345794,75.0,off
25,76.48305882611996,75.0,off
26,75.0,75.28630147555492,off
27,75.0,76.20299620812175,off
28,75.0,76.29667259551258,off
29,75.0,75.54479705062134,off
30,75.84135128534379,75.0,off
31,76.41763386066458,75.0,off
32,79.54095805188253,75.0,off
33,75.0,75.74332768024075,off
34,76.56047756682352,75.0,off
35,75.0,78.58054535237926,off
36,75.0,80.57117765150403,off
37,75.0,88.42353191816352,off
38,75.0,101.89555762228828,off
39,75.0,99.0033600643252,off
40,75.0,103.09894091803145,off
41,9.636282581638387,131.0,off
42,10.258455273638798,148.0,off
43,30.0,132.5634349414271,off
44,44.01677985537197,163.0,off
45,18.364016689107103,195.0,off
46,22.315117523667077,187.0,off
47,29.87846344871802,169.0,off
48,29.67485561418915,157.0,off
49,59.0,123.79882078233514,off
50,75.0,159.1028725610447,off
51,50.70052176792648,134.0,off
52,35.12800796157754,122.0,off
53,25.449353279265463,88.0,off
54,27.855402999591576,58.0,off
55,45.568103255464266,27.0,off
56,73.0,19.478959702408005,off
57,94.0,14.893816580717647,on
58,102.48906856389206,46.0,on
59,133.0,26.451860503052032,on
60,105.55586407850315,57.0,on
61,135.0,43.539886840034505,on
62,136.93883734653767,75.0,on
63,115.5195679786595,75.0,on
64,104.32644676740867,75.0,on
65,94.51872956722234,75.0,on
66,90.06227893691926,75.0,on
67,85.40768173084814,75.0,on
68,119.74660352185546,75.0,on
69,114.37165023158178,75.0,on
70,98.0,51.284687846775014,on
71,84.36151857528262,75.0,off
72,75.0,79.95547089053491,off
73,75.0,96.2855689082426,off
74,75.0,103.86520561675621,off
75,75.0,113.5296612976238,off
76,75.0,112.3027262634257,off
77,75.0,109.17027937803594,off
78,75.0,110.99895895416756,off
79,82.73477276371466,75.0,off
80,92.43771293339158,75.0,off
81,98.01891681214725,75.0,off
82,101.75263652671154,75.0,off
83,113.0,50.07738543068239,off
84,90.11831263450567,75.0,off
85,80.57841667002651,75.0,off
86,75.0,78.55247169828291,off
87,75.0,87.53838946442957,off
88,75.0,90.57820127049388,off
89,75.0,90.42495079635957,off
90,75.0,90.05450162569434,off
91,75.0,86.97922768001058,off
92,75.0,94.85507843406901,on
93,77.01999774890756,75.0,on
94,77.53294915207468,75.0,on
95,75.0,82.03323139510876,on
96,78.43196124084687,75.0,on
97,78.60624103423027,75.0,on
98,78.19692052295615,75.0,on
99,75.0,83.74263922134593,on
100,75.0,85.03427211720265,on
101,75.0,85.913256247715,on
102,75.0,78.69278798159571,on
103,87.18618263166826,75.0,on
104,78.99452477856346,75.0,on
105,77.51697998567828,75.0,on
106,76.53236837248583,75.0,on
107,75.0692613157004,75.0,on
108,75.0,76.38536453508635,on
109,78.5832419051736,75.0,on
110,75.0,80.67152415889933,on
111,75.0,85.17221661526327,on
112,61.15038719662855,55.0,on
113,65.70782154987333,89.0,on
114,75.0,87.6890591863533,on
115,37.601279916127,59.0,on
116,41.114737922919296,28.0,on
117,69.0,10.837062475997485,on
118,90.0,13.498419989100055,on
119,104.0,14.212167550214271,on
120,96.0,15.033080814182707,on
121,130.0,23.806543132834605,on
122,153.0,36.32247198907658,on
123,113.9906666248211,65.0,on
124,140.0,64.80940347587695,on
125,127.15794201655272,75.0,on
126,130.4551807901282,75.0,on
127,114.774315158268,75.0,on
128,113.43516021705389,75.0,on
129,0.0,0.0,on
