,left_speed_predicted,right_speed_predicted,camera_state
0,7.158317739850674e-06,-1.326349233702624e-06,on
1,22.444577874037172,5.797348325219492,on
2,29.359424369242912,6.122204150597012,on
3,56.62182245966761,9.399790006171852,on
4,83.27321290401832,10.435355155852244,on
5,104.51610075280449,11.84394153011846,on
6,131.84679439346428,16.66215902394797,on
7,159.08395340333297,28.50884594656606,on
8,103.91596809289126,58.00189363459019,on
9,142.58005003820765,66.86804298642768,on
10,129.09878855402948,74.58705574025309,on
11,104.15186894705452,74.59227906457754,on
12,94.26878547309704,74.86539538503787,on
13,94.72639586406969,75.13366562030589,on
14,87.40729080875822,75.39876649398708,on
15,87.89967806924238,74.86765241675403,on
16,83.08207739957498,75.13197006062225,on
17,90.53386563283918,75.03651581375323,off
18,87.50892638704393,74.83578757619891,off
19,87.60399493704384,74.86335565113345,off
20,86.90596793365005,74.94999901785098,off
21,86.20128427113684,74.78234870977799,off
22,84.91012330783644,75.2351346896861,off
23,81.53039606612457,75.18934302168846,off
24,78.49303444775299,75.20221624068249,off
25,76.11888496788855,75.14331465767569,off
26,76.29466787727475,74.69651780069786,off
27,73.63922159957107,75.34343064900992,off
28,75.16836685854598,76.27009066028769,off
29,74.91171592779185,76.35876522079113,off
30,75.18469620611766,75.49448601138133,off
31,76.04939346702817,74.71087171819948,off
32,76.07461138028079,74.59852631188045,off
33,79.06721961337868,74.26972017733415,off
34,74.78350333894225,75.87936040194552,off
35,79.52531843929184,74.66358901324475,off
36,75.00000008607398,78.28122447416547,off
37,75.11981268084674,80.38293069356358,off
38,75.12360114917715,88.00037979041831,off
39,74.36321548751197,100.50793254301198,off
40,74.73783835666646,98.74075798078215,off
41,74.86522697976706,102.81606020230325,off
42,14.808694662810314,129.20035583658006,off
43,8.80109646894332,145.44284449588994,off
44,28.106369445960347,132.62702711079174,off
45,43.86504219474909,163.29846699639518,off
46,21.82219336137044,189.1946111581511,off
47,22.265869354153626,188.87540712692248,off
48,28.93928720483526,171.87577932370445,off
49,29.564706830300146,156.34712612234418,off
50,59.999858876705254,124.83220480897714,off
51,73.63968016819055,159.93558015549945,off
52,50.9258626778841,137.12136496068393,off
53,35.282133654622164,121.29299546087789,off
54,25.90863847947027,87.99999992643858,off
55,27.698560926205968,57.81664539271025,off
56,45.088851946588655,27.37323370445942,off
57,68.64661271513195,18.7645473097848,on
58,127.15241608368993,15.2638525368678,on
59,102.6227766314094,45.73824826093065,on
60,134.31758399965014,26.57227582199259,on
61,105.44856519095062,56.0347616102652,on
62,133.77231885469007,44.14680468802487,on
63,137.11201264470623,74.18396963796981,on
64,117.44885224202835,75.30918818796883,on
65,101.9040378894056,74.55491811461594,on
66,95.59492456405748,75.28771069763997,on
67,86.96209236730692,75.00002165044374,on
68,86.45585804632844,74.44781647401375,on
69,118.55519650853154,74.591378177166,on
70,116.20934610756018,74.73029807629851,on
71,97.81407008232848,51.38565959804409,off
72,84.13785135928663,74.83313157617609,off
73,74.8151763862764,79.77270478943049,off
74,75.10130670281424,95.41000497051829,off
75,74.77976594284202,103.81756888747135,off
76,75.0594240364283,112.90395221775263,off
77,75.19124473863116,112.41092437900618,off
78,75.20409990559824,109.90706293206993,off
79,74.71088183070206,110.34851747135716,off
80,82.21964686479338,76.83569580624247,off
81,92.16043748727994,74.91934320962993,off
82,97.42378899484584,74.83042207705262,off
83,105.41888113608991,74.64446058884864,off
84,112.16351257893491,50.1631364843189,off
85,90.39773775950778,74.70910260751674,off
86,80.41907092330875,74.89904714224451,off
87,74.68528492681673,78.28470463278035,off
88,74.5647095697619,87.58862331681362,off
89,75.33811801600392,90.51303437699436,off
90,75.23311149995995,90.14230888216646,off
91,74.8796278745979,90.04794119600213,off
92,76.08625258569708,87.34930073146253,on
93,75.82844169314009,95.72354560745809,on
94,77.01544376498215,76.14135771208115,on
95,72.6592423525633,75.39739445959142,on
96,75.1792000207187,81.84810075255075,on
97,79.02376373254982,75.00002337776101,on
98,78.66787416809294,75.31296843460369,on
99,78.31718295663555,75.00000303379485,on
100,74.71031944347678,83.77994405522068,on
101,75.28255108385446,85.02946017273707,on
102,75.00001441096653,85.78669178230317,on
103,75.27326357744478,79.1446532304858,on
104,87.02588415516499,74.59456113609086,on
105,79.79955249782546,74.73192780354047,on
106,77.18169749045478,75.39966853961288,on
107,76.99215893478133,75.13260122310378,on
108,75.06012756331181,74.47152562363569,on
109,75.13179019300186,76.46637555666759,on
110,78.37505671907178,74.86851259524359,on
111,74.60613048316647,80.18948255239535,on
112,69.36061014041516,85.14965166600156,on
113,62.70309977476526,55.524141885163125,on
114,65.09135125562396,88.86906152671217,on
115,73.42944071998731,87.86066690295651,on
116,37.260975336556186,58.86919887798099,on
117,40.83815490026346,28.13080966537607,on
118,67.82310377263698,11.64298221920814,on
119,87.90807784960043,13.433270361139872,on
120,99.03228590617921,14.315184997628569,on
121,96.52287064566787,14.767319445723945,on
122,129.0850378138125,23.831829475405886,on
123,155.09123254977368,36.14962761049847,on
124,113.46912363228788,64.47723688024293,on
125,139.60794868763156,65.22641547995052,on
126,127.79076098346789,73.5624302061889,on
127,131.3105206843185,75.39207638460852,on
128,114.28108909229044,75.3920780600709,on
129,112.98626112729386,75.52275875600446,on
